iter	Passed	Remaining
406	6400	9325
407	6412	9304
408	6430	9291
409	6448	9279
410	6468	9270
411	6489	9261
412	6516	9262
413	6539	9256
414	6567	9257
415	6589	9250
416	6610	9241
417	6637	9241
418	6654	9227
419	6675	9218
420	6693	9205
421	6718	9202
422	6741	9195
423	6754	9175
424	6768	9157
425	6783	9140
426	6795	9119
427	6808	9099
428	6826	9086
429	6841	9069
430	6853	9047
431	6866	9027
432	6877	9006
433	6892	8988
434	6913	8978
435	6928	8962
436	6946	8949
437	6970	8943
438	6988	8930
439	7000	8909
440	7016	8894
441	7037	8884
442	7052	8867
443	7071	8855
444	7088	8840
445	7107	8829
446	7124	8814
447	7150	8809
448	7176	8806
449	7191	8789
450	7206	8771
451	7233	8769
452	7256	8761
453	7280	8755
454	7296	8740
455	7318	8730
456	7341	8723
457	7364	8715
458	7385	8705
459	7404	8691
460	7421	8676
461	7435	8658
462	7453	8644
463	7479	8640
464	7507	8638
465	7538	8639
466	7558	8626
467	7575	8611
468	7592	8596
469	7611	8583
470	7627	8566
471	7644	8551
472	7659	8534
473	7681	8523
474	7706	8517
475	7733	8513
476	7765	8514
477	7793	8511
478	7817	8502
479	7843	8497
480	7872	8494
481	7890	8480
482	7908	8464
483	7922	8446
484	7943	8434
485	7973	8432
486	7988	8414
487	8008	8401
488	8030	8391
489	8050	8378
490	8076	8372
491	8107	8371
492	8133	8364
493	8157	8356
494	8174	8339
495	8194	8327
496	8213	8312
497	8226	8292
498	8244	8277
499	8262	8262
500	8284	8251
501	8302	8236
502	8313	8214
503	8333	8200
504	8349	8183
505	8377	8178
506	8406	8174
507	8421	8155
508	8439	8141
509	8455	8123
510	8473	8108
511	8494	8096
512	8511	8079
513	8535	8070
514	8548	8050
515	8564	8033
516	8587	8022
517	8605	8007
518	8619	7988
519	8634	7969
520	8664	7966
521	8689	7957
522	8703	7938
523	8718	7920
524	8734	7902
525	8756	7890
526	8771	7872
527	8787	7855
528	8799	7835
529	8821	7823
530	8836	7804
531	8858	7792
532	8884	7784
533	8909	7775
534	8921	7754
535	8936	7736
536	8972	7735
537	8988	7718
538	9002	7699
539	9018	7682
540	9040	7669
541	9066	7660
542	9084	7646
543	9099	7627
544	9108	7604
545	9120	7583
546	9133	7563
547	9143	7541
548	9154	7520
549	9167	7500
550	9180	7481
551	9192	7460
552	9205	7440
553	9222	7424
554	9231	7401
555	9238	7377
556	9252	7358
557	9262	7336
558	9278	7320
559	9295	7303
560	9311	7286
561	9322	7265
562	9334	7245
563	9344	7223
564	9357	7204
565	9368	7183
566	9396	7176
567	9418	7163
568	9445	7154
569	9469	7143
570	9483	7125
571	9501	7109
572	9510	7087
573	9524	7068
574	9538	7049
575	9550	7029
576	9561	7009
577	9581	6995
578	9596	6977
579	9611	6959
580	9622	6939
581	9634	6919
582	9647	6900
583	9657	6879
584	9671	6861
585	9687	6843
586	9696	6822
587	9706	6800
588	9714	6778
589	9724	6757
590	9735	6737
591	9744	6715
592	9755	6695
593	9766	6675
594	9777	6655
595	9791	6637
596	9801	6616
597	9815	6598
598	9833	6582
599	9841	6560
600	9850	6539
601	9860	6518
602	9870	6498
603	9881	6478
604	9891	6458
605	9907	6441
606	9919	6422
607	9935	6405
608	9948	6387
609	9963	6369
610	9977	6352
611	9990	6333
612	10001	6314
613	10012	6294
614	10025	6276
615	10036	6256
616	10052	6240
617	10067	6222
618	10083	6206
619	10094	6186
620	10108	6168
621	10118	6148
622	10129	6129
623	10141	6110
624	10151	6090
625	10161	6070
626	10170	6050
627	10182	6031
628	10195	6013
629	10207	5994
630	10220	5976
631	10230	5957
632	10243	5938
633	10258	5922
634	10274	5906
635	10288	5888
636	10300	5869
637	10321	5856
638	10330	5836
639	10340	5816
640	10353	5798
641	10364	5779
642	10377	5761
643	10388	5742
644	10398	5723
645	10417	5708
646	10425	5688
647	10435	5668
648	10445	5649
649	10457	5630
650	10467	5611
651	10478	5592
652	10491	5575
653	10505	5558
654	10517	5539
655	10529	5521
656	10542	5503
657	10559	5488
658	10570	5469
659	10582	5451
660	10592	5432
661	10603	5413
662	10617	5396
663	10626	5377
664	10640	5360
665	10652	5342
666	10663	5323
667	10673	5304
668	10687	5287
669	10698	5269
670	10711	5251
671	10720	5232
672	10730	5213
673	10743	5196
